,Customer_name,Highlight,Ratings,Description
13,Singam,"Loved sound quality, it's awesome",5.0,"I am using alexa dot 2nd Gen and today I have gifted dot 3rd Gen to my Daddy.1. I see of difference in sound quality compared 2nd gen. Sound quality is amazing.2. It is louder than 2nd Gen Dot3. One thing disappointed is that when say 'Alexa, play old telugu songs' in 2nd Gen Dot it Play old songs from retro station but in 3rd gen Dot it is playing telugu songs'(not telugu old songs). When I specially say 'Alexa play telugu retro station songs' it is playing old songs of specific combination of male and female singers.I will update the review after days again but it's 5 star rating for now"
14,ARNPRASAD,Combo with smart bulb reaches US deal price!!!!,5.0,For 2000 using 10% off..you are getting a bulb worth 500...making echo dot 1500 which at roughly 20 dollars is same price you get in deals in USA.  So no more asking friends to get them from there!!!!  Anyone sitting on the fence can buy this instead of buying bluetooth speakers.  This is 5th Echo dot including earlier versions and Google Mini doesnt even come close when it comes to smartness.  While Google mini answers google search questions better - no one is buying a smart speaker for that.  Its integration with smart devices is unparalled and my mini appears dumb most of the times.  Just grab this before it goes back to its old price.  Even the smart bulb is very helpful.  While watching TV..just ask Alexa to turn bulb blue or red!! Not sure if this bulb can dim...if so..you can use this both as a day bulb and a night bulb.  Just go for it before its too late
15,Indrani Das,Value for money smart speaker,5.0,"I was quite confused between echo dot 3rd & 4th Gen so bought both to try and after testing, I choose 3rd Gen bcoz of following reasons.1. Very responsive to voice command in comparison to 4th Gen.2. Only 1-1.5 scale down from 4th Gen in sound and bass quality.3. I prefer 3rd Gen hockey puck design than 4th Gen round shape (personal preference).4. For higher audio quality and output one can always use external speakers via aux cable.5. Can integrate with Google even via bluetooth.6. Easy to place anywhere without any scope of rolling off.7. LED ring light looks distinctive on top than bottom (4th Gen) bcoz one can't see its 360° view.8. Plays soft music prity well than hard.9. Can fit into confined space.10. Also paid only ₹1999.What more one can ask for."
16,Amit Sharma,Prompt response and issue solving by Amazon Kudos 🙂👍,5.0,"""Worst experience brought it on 12th August already stopped working since 25th September @Amazon what should be done suggest""This was my previous review but now i am amazed with customer service i got from Amazon. The adaptor for Alexa was faulty..so after the review Amazon came to know about my problem and without any delay they help me with a new adaptor without any cost.In this way within a day my issue is resolved. Thankyou Mr.Aman for your promp response and solution will never forget it.so all these stars are not for Alexa now but for Amazon 🙂u won my ❤️"
17,Santhosh,Alexa Sucks,3.0,"me ""Alexa,  play .... "". Alexa ""Sorry, I do not know that""me ""Alexa,  play .... "". Alexa ""Sorry, I could not find that""me ""Alexa,  play .... "". Alexa ""Sorry, I don't recognize it""search capabilities of Alexa sucks!! Even when I read out the playlist names as they are on Amazon Music, Alexa can't find those playlists. Alexa know a standard playlists like 90s bollywood, bollywood hits etc., If you are looking for Kannada playlists or for that matter any local language lists, Alexa just does not know...me ""Alexa, I have feedback"" ""You really suck!!"""
18,Rahul Dubey,Good Hardware with just okayish software,3.0,"This review is for the Echo dot (3rd gen).On the Hardware front, the device is quite good(maybe best in the market) at this price, only one thing I would want it to have is a battery inside as you have to connect it to a power source always, which makes it less portable and for scenarios when there is an electricity cut (well we live in India-a developing country, here many areas even in the top cities don't have 24 hrs of electricity, Amazon would have considered this)The software front is just average.If you have used google assistant(Ok Google) on mobile/any device then you can think as Alexa answers just around 50% efficiently compared to google assistant (according to me). Alexa doesn't understand follow-ups like google assistant, every time you have to say ""Alexa"" first for everything, and it also doesn't understand many basic questions (like what are the flights from Jaipur to Delhi?, who played most IPL matches?-->it just says I don't know the answer), you have to be more specific in framing your query for Alexa, it is also not as good as google assistant with the Hindi language. Google Assistant is much more friendly than Alexa, with all that said I would say Alexa is about Half as smart as Google assistant.Only one thing good on the software front is it has the biggest Skills' library so you can automate/routine many things.On the last note, I would say this device is good to control smart devices in your home(like smart bulbs, plugs, appliances, etc), doing routine stuff like reordering regular things on Amazon(like grocery, etc), reorder foods, book cabs, etc. and obviously to listen to music online.I never own any google smart speaker, but with my research, I think Echo dot(3rd gen) is better on the hardware front and google nest mini(2nd gen) is better on the software front, well, it depends on you which to choose."
19,Ritwick Saikia,Hits far above its weight,5.0,"The speaker was larger than I thought it would be, a bit chunky but not too heavy. It doesn't move about, because it's nicely weighted, even if played at full volume though I believe 50-60% volume would be enough for most people. The sound is very good indeed. The Bollywood and dance songs play great and even the rock and metal songs are enjoyable. The bass is not very heavy but the sound seems weighted nice for bass heavy songs. Alexa makes it so easy to do so many things, especially if you have smart appliances and lights and all at home which are compatible. Sone things I find enjoyable are asking Alexa to turn on the tv via my smart plug and play a particular show on the fire tv stick and by the time I get to the living room everything's on and the show's about to start. You can even use it to call your family to dinner if you have two or more echo speakers. Some privacy issues are there but it's up to you how comfortable you are giving up some for the convenience it provides. Playing music, the news, weather updates, traffic updates, reading your Kindle library books to you, the possibilities are endless. Spotify too is very nicely integrated with Alexa. The only downside is that the Google feud means there's no YouTube or YouTube music support officially and you have to run through some hoops to get it working (P.S. look up Paul Hibbert on YouTube [oh the irony]). P.P.S.-Amit Bachchan's voice is now available via Amitji keyword but unfortunately you have to pay extra for it :)"
20,Abhishek Banerjee,A good product for everyday use,3.0,"Well amazon did a great job they explain every pros on their details*Only thing is alexa is in beta stage may be it will take some more years for this AI to work like google assistant, because most of the time alexa says "" मूझे नही पता""*Interaction in hindi is better than google assistant*Sould quality is better than my expectations*Got it on amazon GIF with wipro bulb @2300rs with 100 of cashback ✌🏻* in winter season i don't need to go out from my quilt to switch of my home devices 😂😂 Thanks amazon* Good for my parents as they can ask most of the things to alexa because they r in a phase of learning smartphones features* Only buy if u heave a wifi router, will not work good with mobile hot-spot* Smart devices most of them only supports 2.4Ghz wifi router* Smart devices cost a lot as compare to normal electronics, with this speaker u need to spend extra bucks to make your home more smarterPS- Add motion sensing LED to ur home with smart LED ... It looks cool and u dont need to shout a lot to turn it off or on and the bottom line is they r more cheaper ✌🏻"
21,Jitender,It is fantastic invention.,5.0,"The media could not be loaded.
                



 Got it with Wipro smart LED bulb bundle. In 1999 both.Pros:Solid build quality.Easy setup.Capture voice even far from 10 feet.Loud and clear sound.Bass is awesome.Easy connection to your smart LED bulb.Capture all voice just anybody called ""Alexa"". It will respond.Cons:No battery inside, you need to put in its power adapter all the time.Works only if active internet connection available.You should have wifi at home to connect all devices together."
22,Amazon Customer,Limited capablity with very poorly designed sensors,1.0,"worst product amazon released into market in a hurry. Here are some, if not all, of the issues:1 - No sound clarity. Even from 4 feet one cant understand what alexa saying. muffled voice2 - Limited capability. Other than weather it doesn't know any significant much. I didnt buy it for weather or switch on a bulb.3 - Dont understand english language properly.4 -Its useless overall for anything and for anyone, be it kids or adults.Amazon has a long way to go before it can make it usefull."
23,Saahil Singh Bains,Worst Integration ever.,1.0,"This device refused to set up because the Alexa app just didn't work on my mother's phone. I had bought this for her. I even tried signing out of the Alexa app on my phone and then tried logging into her account on my phone and as soon as I would log in, the app would go blank.I'm still confident that there is nothing wrong with the Echo device but there is a problem in the Alexa app. More specifically there is a problem with my mother's account on the Alexa app. Unfortunately there is no way to fix this or talk to any kind of customer support. Customer support is a chat bot which has a preset list of questions that you need to select. There is no way to get any support for the app.My suggestion would be to stay away from such 'dumb' smart speakers. Amazon US is very helpful, because the laws in  that country require them to be. Amazon in India sucks when it comes to Alexa app support, because there is no way to talk/ chat to someone who can check the account.Its strange that my worst purchase from Amazon is actually an Amazon product and not something sold by a listed seller."
24,RAVINDRA GOPAL,Average performance,3.0,"I am returning after trying various commands for about a week. This is a recent review.Received only 2 days ago. So initial impressions.Not checked integration. Oakremote that I purchased with Echo was a flop.+ves -Voice recognition , Quick response, Family is having fun giving commands-ves: It generally plays music from Amazon music library. THE SOUND QUALITY IS NOT THAT GOOD. Sounds like 19th century radio. It works only when Wifi and Electricity are available.I am keeping it for the novelty and as a sample of future AI. Would be happy if it lasted atleast till 2022 Diwali😜"
25,Aswini Sahoo,Alexa is great but device needs to be improved,3.0,"I like Alexa and the features. But rated 3 due to the below facts.- No inbuilt battery. A big minus. In today's mobile world, you cannot enforce the device to be plugged in always.- No USB charging facility- Alexa app is horribly slow- The moment your wifi connection changes, it cannot detect. You need to reconfigure itPlus features- Device shape is great- Sound quality is superb- Voice response is awesome"
26,Mohammad Shabeer,Bang on Product for the price!!,5.0,"It’s an amazing product to have, especially the integration with your google calendar and tons of skills to play around with. Though hoping there will be more better software updates, butIt’s a bang on product for the price. Bought wipro bulb and echo dot together for 2449Rs and then returned the wipro bulb and got back 700Rs. So got the Alexa for just 1750Rs, which is truely a bang on for a smart assistant and a Bluetooth speaker ;)"
27,TechDevoteeIndia,Fantastic sound quality but alexa is useless,2.0,"In comparison with Google voice assistant devices -1. Eco dot 3 is awesome in hardware - mic recognises voice from far away distance and bass on speaker is super.2. But software experience is pathetic due to alexa which is not even 10% of google assistant. Very limited recognition of command and that too hit or miss by alexa.3. Alexa catches one command unlike combined commands in Google assistant.4. Unproductive things like telling jokes are only features of alexa. It can't even calculate dates.On/off smart plug & reminders are the only perfectly working things with Alexa !!!In layman terms - Google is hero and Alexa is joker.Limitations in speaker -Note that only 3.5mm output is possible, so eco dot 3 can't be used as 3.5mm speaker but can be used as Bluetooth speaker.You can't use mic in Bluetooth mode. So, not usable for calls.Alexa app -is inconsistent and not user-friendly. Critical features like alexa guard are not available in India.Voice recognition -It's always hit or miss with simple commands also.I bought to play online kannada music but voice recognition is limited to Bollywood movie names or artists for Indian music.It won't recognise 99% kannada music/movie/artist names.My VERDICT -Even though I got in DEC 2021 for 2299, I'm finding it useless. My usage is restricted to on/off smart plug at water heater and reminders, as reminders with 5 out 5 times whereas it's 4/5 with Google.Alexa ignored Kannada and all other South Indian languages, so time for us to ignore alexa and go with Google devices if South Indian languages are your need.Don't waste your money on alexa voice assistant devices."
28,Shiv Sharma,Disappointing support for troubleshooting of Echo dot issue,1.0,"The product has intermittent issue while connecting with Phone for playing videos sound.  Spoke with Amazon Tech support, they went ahead with raising replacement after some troubleshooting. Now, they picked the device. Though no replacement update.  Nothing in the app which indicates that the product has been picked up or replacement has been sent.Moreover the device itself dont have connectivity with ZOOM app and for calling  in India. Though the feature is available in other countries through Echo Connect feature.Hope they will sent the replacement."
29,Dharma Sriram,Very bad product.. cracking sound after six maonths of usage.,1.0,"The media could not be loaded.
                



 I used hardly six months and getting crack sound from speaker. It happened to couple of other friends too. And service is very pathetic. I have booked service and no one called me back. Better to go for Google one which is very reliable. This is not for long term usage. Amazon making fools with duplicate products."
30,Manish Sharma,Gyd audio but really bad and dumb Alexa assistant..Horrible answers..Very Dissatisfied.,1.0,"Alexa is horribly wrong and Dumb..I made a mistake by not buying google mini speaker..Alexa has no answers...It is a stupid speaker..I know u need to enable the skills and all that..However, it is still a very bad Assistant..Fully disssatisfied..Audio quality is good but one can buy a simple bluetooth speaker at 1/3rd the cost rather than messing ur mind up with such an incapable AI speaker.. It cannot answer 90% of your questions.Used with Fireststick: limited usage and that too with limited apps.Will still need the remote anyway. Not much useful with Firestick.I strongly suggest please Buy google home mini instead..Audio may be a bit less but the google assistant is amazing.."
31,Kapil Soni,Could have been better,4.0,"We purchased Gen3.  The voice of assistance is too heavy. No equalizer settings.  App has a very poor design and functionality.  Sound of music is rich, but very poor in high frequency (treble), bass is good as per the size of speaker.  Overall, good to hear music.  AI is just okay, has very limited AI features, Mobile's Google voice is way more intelligent in answering questions.  Good for wakeup alarms and listening music.  Apps like spotify is very poor as opposed to Advertisement shown.  Youtube selects better song lists rather than Amazon's music or Spotify.  Gaana is still better, but way behind Youtube.  Crux: If you have a small and good quality speaker system, just pair with your mobile and it shall be better; more better if use an old phone as no sms & phones shall disturb.  These smart speakers are always listening (except for mute) ... always leaves me in doubt."
32,Ramana Murthy Devulapalli,Keeps shouting the device name it is playing from,2.0,"Everytime I connect to the device it says playing from and mentions my device name. This comes at high volume as this volume can only be controlled through the device. But this doesn't end here. Alexa shouts playing from and my device name everytime. If I lock my system and re-login then it shouts this message. If I stay idle and don't move my mouse for 5 mins and then move it then I get this mesaage again. Sometimes it happens when I am playing videos as well. A video will be playing and suddenly Alexa shouts playing from and my device name. Unfortunately even though I tried many things to get rid of that, I wasn't able to get rid of this sound till now. When I connect to Alexa speaker for the first time it doesn't connect properly and it plays with breaking sounds. This happens many times and I have to keep disconnecting and connecting it back till it works properly. Overall it is a fine speaker but there are too many problems that I face everyday with it."
33,Chakraborty,Total value for money...,5.0,"In a word... Just fabulous...Not that much works in queries like Google. But GK level is quite good.For music it's outstanding.Voice recognition, sound quality, the LED ring ... All experiences are just awesome.Don't know about Home assistance, didn't try but didn't work to call or message on any number. Whom you are calling need to be added with your Alexa Profile. Of course you won't give access to outsiders. It's only use for family members only. So it's not useful that much.But After all these ifs & buts... Me & my family members like it very much.."
34,anirban,poor design thinking and lack of  access restrictions ruins good recognition,2.0,"I bought this as a productivity tool- during the pandemic while I drift between office work and housework, I need something to remind me of upcoming tasks or meetings.  It fails terribly due to lack of  thinking by the designers.1. This devise should require  a password or PIN or recognize the voice of the person before proceeding further.  It should not allow anyone to hijack your device- in my case my 7 year old, who keeps fiddling with the reminders  or moving it away from a central location to his room. ( don't tell me you can't do voice classification, then at least ask a PIN ). For me the device is useless now, as I may not even hear it and important reminders may get removed. 2. The India model at least has no working profanity filter, my son plans music with profanity and there is no way to restrict access.3. Searches sometimes fail miserably- it is not recognition, the problem is the content that is being searched for an answer.  Google's device is probably is stronger here with search results4. The reminders should  have an option to repeat till I turn it off by saying ""acknowledged' or 'done'"
35,Jagdeep Visweswaran,Ambient computing Marvel - Alexa,5.0,"My perception about ambient computing changed after I bought this alexa device and Iam loving this device.Alexa's voice is a bigger USP , such a soothing voiceBest WFH home companionLook up alexa skills and you will be facinated how many thousand skills it has,Check out Alexa skills in amazon website & in alexa mobileAlexa is a platform and Amazon making it better everydayThese are early days of ambient computing and no assistants are perfectYou can use google assistant from ur phone via bluetooth to get essential from google assistantSpeaker Sound quality is decent and won't  hurt your ears.Amazon adding more songs to  Amazon music and if you have prime subscription you are gonna enjoySpotify integration with Alexa is intuitive with free spotify accountWe can set out Alexa routines and blueprint feature is awesomeIOT connectivity  is seemlessAlexa reads news from Ndtv , TOI, ET, and more.Alexa market share is more than google nest,so developers line up for alexa than googleThank you amazon for creating this best Alexa speakerMuch loveAlexa user"
36,Prakash,Overall a OK Smart Speaker,3.0,"This review is after using echo dot gen 3 more than 2 months. While there are both Pros and Cons, this is a good device to enter into connected devices world.Pros:1. Good looking gels nicely with the environment.2. LED ring gets your attention when in need.3. Good sound quality on playback.Cons so far:1. Sound is muffled for the responses from Alexa, you can't make out clearly on what it says most of the time. No fix yet { reduced one star because of this. }. Due to this issues it's being used as just a music player most of the time.2. Compared to Google Mini, Alexa's search contextual hits are lower.3. Was unable to get Follow-up working properly."
37,J pathak,Pathetic,1.0,"A great device to get started, echo dot is a great device to first know your requirement. Alexa is integrated well enough but the voice recognition will give you trouble in later stages as it fails to recognise simple regular commands after a while, you will only see the blue light which after taking no action will turn off and resume the ongoing task. Many times it will disappoint and embarrass you, can only hope it to get better in future.Update:After using it for 1 year i would say it isn't that good of a device, now out of 10 times calling itout, it wouldd hardly respond twice. May be they have made the 4th gen better in this aspect but this device if you're even getting at a discounted price of 1k, don't bother. Not worth your money."
38,Abhishek,The integration with other app is difficult,3.0,"The integration with other app is difficult and many times it unable to perform well with voice recoginitionFlaws:1.Its difficult to pair it with smart switch and bulbs.i was not successful,in doing so2.voice recognition sucks3.the help provided ia not good at all.not a good assistqnt.4.cannot plqy music or video from yputube5.no proper help for automating6.cannot use it as output speaker with my projector7. Simple automation scripts for pairing should be provided as a sample so that ppl can directly reuse them8.it only search songs from limited platforms.that huge disappojntmentNot satisfied at all.Only thing that I like is sound of speaker"
39,Joysurjya Hagjer,A Wonderful Assistant at Your Beck and Call,5.0,"Got a sweet prime day combo deal on this and this is my second purchase of this device. For the price and the ease of use and integration, I am very happy with it. I only wish it had a chargeable feature to go alongside it to make it truly portable but I guess Amazon has other devices which cater to that need.I really haven't used the offerings from google and apple in this category so will not compare but just for itself, this device is a charm."
40,R44,"Decent product, but has many software bugs... Hope they are fixed in the future.",4.0,"Hello,I purchased this from somewhere else.. After using it for a while, i noticed the amazon music service doesn't work at all. I was under the impression that amazon music, which is freely available with echo devices would work. After trying for hours to make it work i gave up, Alexa replied that ""She couldn't find anything"" whenever i tried to play something on amazon music. The only service that works good so far is Hungama Music. I am saying this after testing all the other services like Gaana, JioSaavn, Spotify etc... Gaana works as well but it has some issues... Spotify also works but lacks many songs.Aside from that, the mics are good but only till the volume medium, because high volume makes the device hard to hear us. Anything over volume level 6 is bad, and Alexa won't hear us unless we shout at her. I really liked the 2nd gen which had 7 mics yet this one only offers 4.. which is a downside for me. Hardware wise the sound quality is good until the volume level 8, but anything over that makes the sound distort and would be a pain to hear it.Alexa is on the other hand is good to talk to, she (It) can play music, tell jokes, read stories, sing songs, set alarms, set reminders, control smart devices etc... with the bonus of human like speech. This was the factor made me buy this. But on the downside she lacks too much intelligence compared to her counter part Google assistant.. She can't even answer the basic questions and just forwards us to Wikipedia. I hope amazon continues to improve Alexa.So as a new buyer which one to buy? Alexa or GoogleIf you don't care about how the assistant speaks, (robotic speech vs human like speech) then go for Google assistant speaker. Because Google and Alexa devices can both can do the job for smart homes. But Google uses their vast database infrastructure for information so obviously it will have upper hand in this department.But if you care about how your speaker speaks then go for Alexa.. without thinking anything.If you care about information then go for Google assistant else Alexa should be your preference."
41,Mambo,Good Sound Quality.,5.0,"Sound Quality was unexpected from such a small device with a single small speaker. I enjoy FM radio (through skill) everyday. This is very useful as analog FM reception in our area is very bad. Through skills it reminds me of my medication.  Command detection is mostly accurate. But when searching for music, it plays wrong songs at times may be because of the very limited music collection with amazon. Pairing with a second Bluetooth speaker using ""discover"" command is not working unless you remove the already paired device using Alexa app. I wish the alarms and reminders had user programmable/uploadable bells/voices as there is only one sound in the alarm settings."
42,Prasad Shrivatsa,Not for all. Suits teens best.,2.0,"Echo Dot is a good speaker and voice recognition is quite impressive. However, Alexa integration is still in the development phase. So be prepared to get frustrated.If you are someone who loves the old classics, you will find Alexa very disappointing. And don't forget, you need Amazon Music's premium account to be able to stream music on Echo Dot. That also means, Akexa will play only that music which is available on Amazon Music. I'm not a big fan of Amazon Music. It does not have much of my kind of music.Alexa also plays from Jio Savn and Hungama. So getting Alexa to play some music is not always a simple task to perform. And a lot of times, you want Alexa to play an album you saw on Amazon Music or Hungama but the voice assistant fails to find it!I don't have complaints about operating smart appliances with Alexa though. It's totally fun.Edit-1: It has been five months since I started using Echo Dot and I still can't easily find the music I love. On this Independence Day I tried to get Alexa play some classic patriotic songs like ""Jahaan Daal Par Sone Ki..."" but no matter what words I used, Alexa kept playing a playlist called ""Ai Watan"" which seemed to have all new songs, none of which I liked. Clearly, the music that Alexa offers has been selected by Amazon keeping in mind today's teens. And this won't change.Update: January 10, 2021Almost two years since purchaseThe device is still as good as it was when bought. However, it seems Amazon has made no efforts to improve their music libraries. Their focus is still only to cater to the youth, not those who love soft soulful music. When I ask Alexa to play songs of Md. Rafi, for example, she will only play noisy ones like ""Chaahe koyi mujhe jungle kahe..."". She will never include songs like ""Ik haseen shaam ko dil mera kho gayaa..."" even if the song is available in Amazon Music. The Amazon team thinks only college goers listen to its music. This is one of the reasons why I can not recommend Amazon's voice assisted speakers to friends."
43,KARTHIK S,My first smart speaker,5.0,1. Initially it feels a bit weird talking to a speaker but you get used to it in no time.2. The sound quality is pretty good. You get good depth of sound with decent bass.3. Several skills available and you will definitely find some very useful. For example adding stuff to shopping list or setting up a reminder.4. Understands the Indian accent very well. Sometimes I am amazed by how well it picks up stuff.
44,DR.MANAN 7869809983 for call nd whatsapp,Speaker ek nokar,5.0,"Sidhi si bat he iska pure use to sirf jo total sirf computer job vale hi kar shakte he baki to sab sholh k liye lete he,baki normal speakers ki tarah hi use hoga sound limited he ek room k hisab se, baki special search nahi karta kuchh only Amazon, Amazon prime music ,hungama,jese 3 se 5 platforms ko hi use karta he,baki puchho ge to javab milega iske bare me mobile app m jaye ,bss baki shokh pura karo baki naya kuchh nahi lagega"
45,Yashwanth Y V,Very Good Product,5.0,"The media could not be loaded.
                



 Overall good quality it is baby rhymes songs and also controls geyser doing well with compared to other versions this is economical and technically goodrecommended for others to buy"
46,Nayak,just an expensive speaker nothing else.,3.0,"The media could not be loaded.
                



 i like the product.its sound quality is awesome but can not recognize my voice properly.i have to speak multiple time. if you want a speaker go for it,don't expect anything else.i think it will going to improve in future but for now its only a expensive speaker. ita a made in china product.i returned it to the seller"
47,divya kedia,Missing of one echo out of two,3.0,I ordered echo dot gift twin pair with smart bulb...Today I received my order and got single echo with smart bulb.. and no customer service number is reachable..
48,Neeraj Kashyap,Alexa Echo dot review,5.0,"The media could not be loaded.
                



 Sound quality is good,fast response,easy to use.it is a good product and for those who are not much aware about the technology they can also operate easily.you can listen news and if you are feeling bored alexa can tell you good jokes.i m also using wipro smart bulb with Alexa and it is working awesome.i found only one issue sometimes alexa does not respond I think because when we give command from long distance I mean because of mic but overall good product."
49,POOJAN,Good Product,5.0,"Frankly speaking, I am highly satisfied by the quality of the Echo dot but talking about Bulb it wasn't working perfectly. It wasn't showing all the colors. Thanks to the gentlemen seller He got me my replacement. So I would give an overall 5 stars."
50,KULDEEP,Don't purchase device ......don't waste your money,1.0,This is useless device.0) it is not listening command properly. And we have to speak loudly.1) It is not connecting through Bluetooth to desktop. After a long research and hard setting it is connected and if we would change any song than audio is not coming. I am frustrated.2) Always need connectivity with internet / Bluetooth to operate any device.3) not playing music easily wherever we want.4) don't waste money if don't have 24 hours internet connection and related smart device.5) from desktop PC it is not connecting from cable and even from Bluetooth adaptor.So please please don't waste your money on it.Not a smart device it is useless device.
51,srinivas,"Be careful, you might receive an empty box and you will loose the money too",1.0,"Clear case of breach of contract.I have purchased a an echo dot on prime day sale for 3250 post discount, but they have marked my order as delivered without actually delivering it.I have raised an issue going through ordeal of multiple calls mails and messages over 8days. Finally what I was given is 1600 rupees refund with a sorry message. Ihave lost 1800rupees straight away without even seeing the product.Howmuch every I try to escalate the issue the response will be the same, ""we can't do anything for you and you have to accept whatever happens""Now I'm understanding how corporate bullying works.Please be careful."
